second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
424,STATIC,-65890,-65890,0,3,0
425,STATIC,-64201,-64201,0,3,0
426,STATIC,-63638,-63638,0,3,0
427,STATIC,-68143,-68143,0,3,0
428,STATIC,-72086,-72086,0,3,0
429,STATIC,-76591,-76591,0,3,0
430,STATIC,-66454,-66454,0,3,0
431,STATIC,-61948,-61948,0,3,0
432,STATIC,-67017,-67017,0,3,0
433,STATIC,-64764,-64764,0,3,0
434,STATIC,-65327,-65327,0,3,0
435,STATIC,-68143,-68143,0,3,0
436,STATIC,-70959,-70959,0,3,0
437,STATIC,-63638,-63638,0,3,0
438,STATIC,-64764,-64764,0,3,0
439,STATIC,-61386,-61386,0,3,0
440,STATIC,-63074,-63074,0,3,0
441,STATIC,-65328,-65328,0,3,0
442,STATIC,-60822,-60822,0,3,0
443,STATIC,-59696,-59696,0,3,0
444,STATIC,-62512,-62512,0,3,0
445,STATIC,-63074,-63074,0,3,0
446,STATIC,-61385,-61385,0,3,0
447,STATIC,-58006,-58006,0,3,0
448,STATIC,-61948,-61948,0,3,0
449,STATIC,-61385,-61385,0,3,0
450,STATIC,-63638,-63638,0,3,0
451,STATIC,-65328,-65328,0,3,0
452,STATIC,-69270,-69270,0,3,0
453,STATIC,-64764,-64764,0,3,0
454,STATIC,-61948,-61948,0,3,0
455,STATIC,-66454,-66454,0,3,0
456,STATIC,-69270,-69270,0,3,0
457,STATIC,-68144,-68144,0,3,0
458,STATIC,-64764,-64764,0,3,0
459,STATIC,-73775,-73775,0,3,0
460,STATIC,-72085,-72085,0,3,0
461,STATIC,-70396,-70396,0,3,0
462,STATIC,-62512,-62512,0,3,0
463,STATIC,-62512,-62512,0,3,0
464,STATIC,-67580,-67580,0,3,0
465,STATIC,-70959,-70959,0,3,0
466,STATIC,-76590,-76590,0,3,0
467,STATIC,-72648,-72648,0,3,0
468,STATIC,-76590,-76590,0,3,0
469,STATIC,-73775,-73775,0,3,0
470,STATIC,-74338,-74338,0,3,0
471,STATIC,-72648,-72648,0,3,0
472,STATIC,-65890,-65890,0,3,0
473,STATIC,-68706,-68706,0,3,0
474,STATIC,-73212,-73212,0,3,0
475,STATIC,-69832,-69832,0,3,0
476,STATIC,-71522,-71522,0,3,0
477,STATIC,-62512,-62512,0,3,0
478,STATIC,-59696,-59696,0,3,0
479,STATIC,-69270,-69270,0,3,0
480,STATIC,-60259,-60259,0,3,0
481,STATIC,-61385,-61385,0,4,0
482,STATIC,-69270,-69270,0,4,0
483,STATIC,-69833,-69833,0,4,0
484,STATIC,-70396,-70396,0,4,0
485,STATIC,-74338,-74338,0,4,0
486,STATIC,-72085,-72085,0,4,0
487,STATIC,-74901,-74901,0,4,0
488,STATIC,-77717,-77717,0,4,0
489,STATIC,-69270,-69270,0,4,0
490,STATIC,-68706,-68706,0,4,0
491,STATIC,-67580,-67580,0,4,0
492,STATIC,-65890,-65890,0,4,0
493,STATIC,-67580,-67580,0,4,0
494,STATIC,-75464,-75464,0,4,0
495,STATIC,-72085,-72085,0,4,0
496,STATIC,-74338,-74338,0,4,0
497,STATIC,-81096,-81096,0,4,0
498,STATIC,-80533,-80533,0,4,0
499,STATIC,-77154,-77154,0,4,0
500,STATIC,-73212,-73212,0,4,0
501,STATIC,-74901,-74901,0,4,0
502,STATIC,-68144,-68144,0,4,0
503,STATIC,-74901,-74901,0,4,0
504,STATIC,-74338,-74338,0,4,0
505,STATIC,-71522,-71522,0,4,0
