communication_state,crc_valid,exception,function,request_number,response_time_complete_ms,response_time_first_byte_ms,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,3,103,44.5185,40.1247,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff562bffff562ba12c,3260,196608,0,1784915502.3048434,0103000000204412
not mapped,True,,3,104,44.4135,39.8696,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5471ffff54717998,3261,196608,0,1784915502.4198637,0103000000204412
not mapped,True,,3,105,43.9742,39.8458,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5517ffff5517f1fb,3262,196608,0,1784915502.531899,0103000000204412
not mapped,True,,3,106,44.621,40.1719,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54edffff54eda9ed,3263,196608,0,1784915502.6455414,0103000000204412
not mapped,True,,3,107,44.1376,39.6146,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5564ffff5564b5d5,3264,196608,0,1784915502.7620652,0103000000204412
not mapped,True,,3,108,44.6696,40.0246,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5601ffff56013935,3266,196608,0,1784915502.8761075,0103000000204412
not mapped,True,,3,109,44.3784,40.0017,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5820ffff58204064,3267,196608,0,1784915502.9908373,0103000000204412
not mapped,True,,3,110,44.4538,40.0836,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5907ffff59073438,3268,196608,0,1784915503.1038575,0103000000204412
not mapped,True,,3,111,43.9909,39.6033,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5680ffff5680c54b,3269,196608,0,1784915503.2169847,0103000000204412
not mapped,True,,3,112,44.553,40.0149,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff588bffff588b2403,3270,196608,0,1784915503.331011,0103000000204412
not mapped,True,,3,113,44.137,39.5916,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff585effff585ee84e,3271,196608,0,1784915503.4460306,0103000000204412
not mapped,True,,3,114,43.9731,39.5993,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57f3ffff57f38124,3273,196608,0,1784915503.5620499,0103000000204412
not mapped,True,,3,115,44.1307,40.0062,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55ebffff55eba1ae,3274,196608,0,1784915503.675391,0103000000204412
not mapped,True,,3,116,44.1442,40.1818,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53c9ffff53c9da76,3275,196608,0,1784915503.7885015,0103000000204412
not mapped,True,,3,117,43.982,39.6215,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58caffff58cad83c,3276,196608,0,1784915503.9030395,0103000000204412
not mapped,True,,3,118,43.9776,39.6765,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff573fffff573f9161,3277,196608,0,1784915504.0169141,0103000000204412
not mapped,True,,3,119,44.5788,40.4636,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57e1ffff57e1b92a,3278,196608,0,1784915504.1309404,0103000000204412
not mapped,True,,3,120,43.9637,39.3825,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff584bffff584b2442,3280,196608,0,1784915504.245803,0103000000204412
not mapped,True,,3,121,44.5918,40.0209,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56e8ffff56e8a56c,3281,196608,0,1784915504.3618307,0103000000204412
not mapped,True,,3,122,44.5837,40.1869,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff53b7ffff53b7725c,3282,196608,0,1784915504.4763715,0103000000204412
not mapped,True,,3,123,43.9901,39.5939,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5574ffff557475da,3283,196608,0,1784915504.5914397,0103000000204412
not mapped,True,,3,124,44.0703,39.5151,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5559ffff555919c1,3284,196608,0,1784915504.7055163,0103000000204412
not mapped,True,,3,125,44.105,39.5564,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5644ffff56443509,3285,196608,0,1784915504.821598,0103000000204412
not mapped,True,,3,126,43.9916,39.5952,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55abffff55aba191,3287,196608,0,1784915504.9356232,0103000000204412
not mapped,True,,3,127,44.5514,40.0057,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5592ffff5592fd86,3288,196608,0,1784915505.050143,0103000000204412
not mapped,True,,3,128,44.1345,40.1881,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5633ffff56338124,3289,196608,0,1784915505.1652427,0103000000204412
not mapped,True,,3,129,43.9439,39.5396,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff55d9ffff55d919bf,3290,196608,0,1784915505.2799578,0103000000204412
not mapped,True,,3,130,44.565,40.1798,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5480ffff5480c5c9,3291,196608,0,1784915505.3944814,0103000000204412
not mapped,True,,3,131,44.5571,39.5923,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff540fffff540fd1b2,3292,196608,0,1784915505.5100038,0103000000204412
not mapped,True,,3,132,44.5526,40.1747,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff52f5ffff52f58a23,3294,196608,0,1784915505.6252236,0103000000204412
not mapped,True,,3,133,44.1373,40.183,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff52bbffff52bb6219,3295,196608,0,1784915505.7416005,0103000000204412
not mapped,True,,3,134,44.5599,40.0169,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff54f2ffff54f27de7,3296,196608,0,1784915505.854172,0103000000204412
not mapped,True,,3,135,43.9695,39.6021,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5608ffff56082532,3297,196608,0,1784915505.9691947,0103000000204412
not mapped,True,,3,136,44.0244,39.4834,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5547ffff554731cb,3298,196608,0,1784915506.0817218,0103000000204412
not mapped,True,,3,137,43.9659,39.583,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff528fffff528fd20a,3299,196608,0,1784915506.194856,0103000000204412
