host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:48:45.234431+08:00,1288544.062000000,5.594000,E_sensor_500g,channel_a,500.0,24584,2413767,-485907,-485907,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.332234+08:00,1288544.171000000,5.703000,E_sensor_500g,channel_a,500.0,24585,2413864,-485915,-485915,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.431686+08:00,1288544.265000000,5.797000,E_sensor_500g,channel_a,500.0,24586,2413961,-485920,-485920,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.529951+08:00,1288544.359000000,5.891000,E_sensor_500g,channel_a,500.0,24587,2414061,-485889,-485889,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.626968+08:00,1288544.468000000,6.000000,E_sensor_500g,channel_a,500.0,24588,2414159,-485894,-485894,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.725613+08:00,1288544.562000000,6.094000,E_sensor_500g,channel_a,500.0,24589,2414256,-485918,-485918,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.823401+08:00,1288544.656000000,6.188000,E_sensor_500g,channel_a,500.0,24590,2414355,-485906,-485906,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:45.920511+08:00,1288544.750000000,6.282000,E_sensor_500g,channel_a,500.0,24591,2414452,-485885,-485885,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.018536+08:00,1288544.859000000,6.391000,E_sensor_500g,channel_a,500.0,24592,2414550,-485880,-485880,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.118742+08:00,1288544.953000000,6.485000,E_sensor_500g,channel_a,500.0,24593,2414649,-485907,-485907,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.217325+08:00,1288545.046000000,6.578000,E_sensor_500g,channel_a,500.0,24594,2414748,-485939,-485939,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.314529+08:00,1288545.156000000,6.688000,E_sensor_500g,channel_a,500.0,24595,2414846,-485928,-485928,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.411595+08:00,1288545.250000000,6.782000,E_sensor_500g,channel_a,500.0,24596,2414943,-485915,-485915,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.511494+08:00,1288545.343000000,6.875000,E_sensor_500g,channel_a,500.0,24597,2415041,-485919,-485919,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.609658+08:00,1288545.437000000,6.969000,E_sensor_500g,channel_a,500.0,24598,2415140,-485926,-485926,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.707250+08:00,1288545.546000000,7.078000,E_sensor_500g,channel_a,500.0,24599,2415239,-485872,-485872,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.804485+08:00,1288545.640000000,7.172000,E_sensor_500g,channel_a,500.0,24600,2415336,-485888,-485888,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
2026-08-05T13:48:46.901583+08:00,1288545.734000000,7.266000,E_sensor_500g,channel_a,500.0,24601,2415434,-485900,-485900,4,0,0,0,12,high,true,,,,3.3,Real sensor with nominal 500 g fixed weight; first 60 s excluded for initial creep; weight class not recorded; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling
