host_time_iso,host_monotonic_s,elapsed_s,test_id,mode,load_g,sample_sequence,device_timestamp_ms,raw_count,filtered_raw_count,adc_state,fifo_count,overrun_count,lost_samples,config_register,word_order,excluded,counts_per_g,sensor_capacity_g,sensor_sensitivity_mv_v,excitation_v,notes
2026-08-05T13:15:35.902436+08:00,1286554.734000000,356.047000,D_sensor_zero,channel_a,0.0,4315,424320,-43378,-43378,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.000417+08:00,1286554.828000000,356.141000,D_sensor_zero,channel_a,0.0,4316,424417,-43366,-43366,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.098941+08:00,1286554.937000000,356.250000,D_sensor_zero,channel_a,0.0,4317,424516,-43394,-43394,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.196961+08:00,1286555.031000000,356.344000,D_sensor_zero,channel_a,0.0,4318,424613,-43398,-43398,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.294023+08:00,1286555.125000000,356.438000,D_sensor_zero,channel_a,0.0,4319,424712,-43394,-43394,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.392549+08:00,1286555.234000000,356.547000,D_sensor_zero,channel_a,0.0,4320,424809,-43373,-43373,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.490365+08:00,1286555.328000000,356.641000,D_sensor_zero,channel_a,0.0,4321,424908,-43371,-43371,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.589463+08:00,1286555.421000000,356.734000,D_sensor_zero,channel_a,0.0,4322,425006,-43394,-43394,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.686716+08:00,1286555.515000000,356.828000,D_sensor_zero,channel_a,0.0,4323,425104,-43370,-43370,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.784292+08:00,1286555.625000000,356.938000,D_sensor_zero,channel_a,0.0,4324,425202,-43377,-43377,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.839304+08:00,1286555.671000000,356.984000,D_sensor_zero,channel_a,0.0,4325,425268,-43378,-43378,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:36.935974+08:00,1286555.765000000,357.078000,D_sensor_zero,channel_a,0.0,4326,425366,-43349,-43349,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.082412+08:00,1286555.921000000,357.234000,D_sensor_zero,channel_a,0.0,4327,425499,-43347,-43347,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.181136+08:00,1286556.015000000,357.328000,D_sensor_zero,channel_a,0.0,4328,425597,-43372,-43372,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.230645+08:00,1286556.062000000,357.375000,D_sensor_zero,channel_a,0.0,4329,425660,-43386,-43386,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.376859+08:00,1286556.218000000,357.531000,D_sensor_zero,channel_a,0.0,4330,425794,-43365,-43365,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.474904+08:00,1286556.312000000,357.625000,D_sensor_zero,channel_a,0.0,4331,425892,-43373,-43373,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.573966+08:00,1286556.406000000,357.719000,D_sensor_zero,channel_a,0.0,4332,425990,-43382,-43382,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.624477+08:00,1286556.453000000,357.766000,D_sensor_zero,channel_a,0.0,4333,426053,-43365,-43365,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.721428+08:00,1286556.562000000,357.875000,D_sensor_zero,channel_a,0.0,4334,426151,-43359,-43359,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.866333+08:00,1286556.703000000,358.016000,D_sensor_zero,channel_a,0.0,4335,426284,-43342,-43342,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:37.964710+08:00,1286556.796000000,358.109000,D_sensor_zero,channel_a,0.0,4336,426382,-43349,-43349,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:38.064608+08:00,1286556.906000000,358.219000,D_sensor_zero,channel_a,0.0,4337,426480,-43367,-43367,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:38.113949+08:00,1286556.953000000,358.266000,D_sensor_zero,channel_a,0.0,4338,426544,-43355,-43355,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:38.212531+08:00,1286557.046000000,358.359000,D_sensor_zero,channel_a,0.0,4339,426642,-43363,-43363,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
2026-08-05T13:15:38.358181+08:00,1286557.187000000,358.500000,D_sensor_zero,channel_a,0.0,4340,426776,-43355,-43355,4,0,0,13,12,high,false,,,,3.3,"Real sensor, unloaded; board preheated; sensor model/capacity/sensitivity/bridge resistance/environment temperature not recorded; display refresh on; normal Modbus polling"
